Experiment with single label classifier for classifying movie genre:
vectorizer	classifier	correct	incorrect	accuracy
TF	NearestCentroid	360	240	0.6
TF	KNN	358	242	0.5966666666666667
TF	DecisionTree	379	221	0.6316666666666667
TF	RandomForest	427	173	0.7116666666666667
TF	AdaBoost	422	178	0.7033333333333334
TF	Ridge	465	135	0.775
TF	Bernoulli NB	453	147	0.755
TF	Logistic	443	157	0.7383333333333333
TF-IDF	NearestCentroid	428	172	0.7133333333333334
TF-IDF	KNN	421	179	0.7016666666666667
TF-IDF	DecisionTree	371	229	0.6183333333333333
TF-IDF	RandomForest	441	159	0.735
TF-IDF	AdaBoost	437	163	0.7283333333333334
TF-IDF	Ridge	477	123	0.795
TF-IDF	Bernoulli NB	453	147	0.755
TF-IDF	Logistic	469	131	0.7816666666666666
TF-IDF NoStopwords	NearestCentroid	454	146	0.7566666666666667
TF-IDF NoStopwords	KNN	413	187	0.6883333333333334
TF-IDF NoStopwords	DecisionTree	358	242	0.5966666666666667
TF-IDF NoStopwords	RandomForest	440	160	0.7333333333333333
TF-IDF NoStopwords	AdaBoost	405	195	0.675
TF-IDF NoStopwords	Ridge	473	127	0.7883333333333333
TF-IDF NoStopwords	Bernoulli NB	440	160	0.7333333333333333
TF-IDF NoStopwords	Logistic	464	136	0.7733333333333333
2-gram	NearestCentroid	386	214	0.6433333333333333
2-gram	KNN	354	246	0.59
2-gram	DecisionTree	326	274	0.5433333333333333
2-gram	RandomForest	395	205	0.6583333333333333
2-gram	AdaBoost	374	226	0.6233333333333333
2-gram	Ridge	428	172	0.7133333333333334
2-gram	Bernoulli NB	409	191	0.6816666666666666
2-gram	Logistic	409	191	0.6816666666666666
3-gram	NearestCentroid	393	207	0.655
3-gram	KNN	334	266	0.5566666666666666
3-gram	DecisionTree	287	313	0.47833333333333333
3-gram	RandomForest	348	252	0.58
3-gram	AdaBoost	293	307	0.48833333333333334
3-gram	Ridge	404	196	0.6733333333333333
3-gram	Bernoulli NB	300	300	0.5
3-gram	Logistic	395	205	0.6583333333333333
1,2-gram	NearestCentroid	366	234	0.61
1,2-gram	KNN	360	240	0.6
1,2-gram	DecisionTree	379	221	0.6316666666666667
1,2-gram	RandomForest	424	176	0.7066666666666667
1,2-gram	AdaBoost	435	165	0.725
1,2-gram	Ridge	454	146	0.7566666666666667
1,2-gram	Bernoulli NB	422	178	0.7033333333333334
1,2-gram	Logistic	431	169	0.7183333333333334

Experiment with single label genre classifier using Image IR (movie poster):
classifier	correct	incorrect	accuracy
NearestCentroid	321	279	0.535
